student_id,subject,grade_2019,grade_2020,grade_2021,grade_2022,grade_2023
202040,Arabic,,3.4,,3.02,3.42
202040,Computer,,3.8000000000000003,,3.52,3.74
202040,English,,4.2,,3.56,3.82
202040,Kurdish,,4.640000000000001,,3.14,3.68
202040,Math,,3.08,,2.6,2.6
202040,Religion,,4.48,,3.86,3.86
203686,Arabic,,,2.7199999999999998,2.3200000000000003,2.76
203686,English,,,3.36,3.68,3.04
203686,Kurdish,,,2.52,2.56,2.48
203686,Math,,,2.7199999999999998,3.36,3.32
203686,Religion,,,3.36,3.52,3.2
203686,Science,,,2.4166666666666665,2.9166666666666665,2.9166666666666665
203686,Social,,,3.0,3.08,3.44
203688,Arabic,,,3.48,4.28,4.08
203688,English,,,4.2,4.08,4.0
203688,Kurdish,,,3.92,3.8000000000000003,3.68
203688,Math,,,4.04,3.8000000000000003,4.16
203688,Religion,,,3.56,4.4399999999999995,4.4399999999999995
203688,Science,,,3.5833333333333335,3.7083333333333335,3.7916666666666665
203688,Social,,,3.92,4.24,3.24
203690,Arabic,,,3.0,3.0,3.12
203690,English,,,3.36,3.0,2.76
203690,Kurdish,,,3.08,3.08,3.2
203690,Math,,,3.48,2.6799999999999997,3.0
203690,Religion,,,3.64,3.84,3.72
203690,Science,,,2.5,2.2083333333333335,2.9166666666666665
203690,Social,,,3.32,3.52,2.8
203692,Arabic,,,5.0,4.96,5.0
203692,English,,,4.84,5.0,4.96
203692,Kurdish,,,4.640000000000001,4.6,4.88
203692,Math,,,4.84,4.800000000000001,4.96
203692,Religion,,,4.84,4.68,5.0
203692,Science,,,4.666666666666666,4.708333333333333,4.874999999999999
203692,Social,,,4.800000000000001,4.76,4.6
203696,Arabic,,,4.92,4.92,4.84
203696,English,,,5.0,4.720000000000001,4.96
203696,Kurdish,,,4.92,4.52,4.84
203696,Math,,,4.88,4.52,5.0
203696,Religion,,,5.0,5.0,5.0
203696,Science,,,4.999999999999999,4.999999999999999,4.791666666666666
203696,Social,,,4.92,4.96,4.6
203697,Arabic,,,4.04,3.4,3.56
203697,English,,,3.7600000000000002,3.64,3.2
203697,Kurdish,,,4.32,3.52,3.6
203697,Math,,,3.32,3.0,2.88
203697,Religion,,,4.4399999999999995,4.0,4.12
203697,Science,,,3.9583333333333335,3.375,3.2916666666666665
203697,Social,,,3.84,3.96,3.48
203700,Arabic,,,3.2800000000000002,3.44,3.84
203700,English,,,4.640000000000001,4.08,3.92
203700,Kurdish,,,3.44,4.0,3.6
203700,Math,,,4.08,3.96,4.12
203700,Religion,,,3.96,4.16,4.5600000000000005
203700,Science,,,3.0,3.75,3.5416666666666665
203700,Social,,,3.8000000000000003,4.28,3.72
