student_id,subject,grade_2019,grade_2020,grade_2021
1,sgd,1.625,2.5789473684210527,2.5
2,sgd,1.625,2.3157894736842106,2.5
3,sgd,2.25,3.1052631578947367,3.5
4,sgd,4.75,4.684210526315789,4.75
5,sgd,1.9375,3.631578947368421,3.5
6,sgd,4.75,4.947368421052632,4.75
7,sgd,3.8125,4.157894736842105,3.75
8,sgd,1.9375,2.3157894736842106,2.5
9,sgd,5.0625,5.7368421052631575,5.75
10,sgd,4.4375,4.947368421052632,4.75
11,sgd,3.1875,3.1052631578947367,3.25
12,sgd,3.1875,4.157894736842105,4.0
13,sgd,4.4375,4.684210526315789,4.5
14,sgd,3.1875,3.631578947368421,3.75
15,sgd,4.4375,5.2105263157894735,5.0
16,sgd,4.4375,4.684210526315789,4.5
17,sgd,4.125,4.684210526315789,4.5
18,sgd,2.5625,3.631578947368421,3.5
19,sgd,1.9375,2.3157894736842106,2.25
20,sgd,2.5625,3.631578947368421,3.5
21,sgd,4.125,4.684210526315789,4.75
22,sgd,3.8125,4.947368421052632,4.75
23,sgd,4.75,4.947368421052632,5.0
24,sgd,4.125,4.421052631578947,4.0
25,sgd,3.1875,3.3684210526315788,3.0
26,sgd,1.9375,3.3684210526315788,3.0
27,sgd,3.8125,4.157894736842105,3.75
28,sgd,4.75,5.2105263157894735,4.75
29,sgd,3.5,3.894736842105263,3.75
30,sgd,3.1875,4.157894736842105,3.75
31,sgd,2.875,3.894736842105263,4.0
32,sgd,5.375,5.2105263157894735,5.25
33,sgd,5.375,5.2105263157894735,5.0
34,sgd,2.5625,3.631578947368421,4.0
35,sgd,3.8125,4.684210526315789,4.75
36,sgd,2.5625,2.8421052631578947,2.5
37,sgd,4.75,5.2105263157894735,5.5
38,sgd,4.75,5.2105263157894735,4.75
39,sgd,3.8125,4.157894736842105,3.75
40,sgd,4.4375,4.421052631578947,4.25
41,sgd,2.25,3.631578947368421,3.75
42,sgd,3.8125,4.157894736842105,4.0
43,sgd,6.0,5.7368421052631575,5.5
44,sgd,2.5625,3.1052631578947367,3.75
45,sgd,3.1875,3.631578947368421,3.25
46,sgd,2.5625,3.1052631578947367,2.5
47,sgd,3.5,4.157894736842105,3.75
48,sgd,6.0,6.0,6.0
49,sgd,4.75,4.947368421052632,4.5
50,sgd,2.25,2.8421052631578947,2.75
51,sgd,3.8125,4.421052631578947,4.25
52,sgd,3.5,4.421052631578947,4.25
53,sgd,3.5,3.894736842105263,3.5
54,sgd,2.5625,3.631578947368421,3.75
55,sgd,3.1875,4.421052631578947,4.25
56,sgd,2.5625,3.3684210526315788,3.5
57,sgd,4.4375,4.947368421052632,4.75
58,sgd,4.4375,4.947368421052632,4.75
59,sgd,2.875,3.631578947368421,3.25
60,sgd,4.75,5.2105263157894735,5.0
61,sgd,3.1875,3.894736842105263,3.75
62,sgd,3.1875,3.1052631578947367,3.75
63,sgd,2.5625,3.631578947368421,3.25
64,sgd,3.1875,3.3684210526315788,3.25
65,sgd,3.1875,3.631578947368421,3.5
66,sgd,5.0625,4.947368421052632,4.75
67,sgd,4.125,4.421052631578947,4.0
68,sgd,2.25,2.8421052631578947,2.5
69,sgd,2.5625,3.3684210526315788,3.0
70,sgd,5.0625,5.2105263157894735,5.0
71,sgd,4.125,4.947368421052632,4.75
72,sgd,3.1875,3.631578947368421,3.5
